"sample_id","ug_extracted_total","B12","Temperature","Treatment","cells_mL","cells_filter","ug_prot_cell","pg_prot_cell"
"CMA-1-119-1",52.9437792,"+B12","4","4, +B12",208535,4170700,1.26942190040041e-05,12.6942190040041
"CMA-1-119-2",55.2209392,"+B12","4","4, +B12",246515,4930300,1.12003203050524e-05,11.2003203050524
"CMA-1-119-3",54.6603306,"+B12","4","4, +B12",208345,4166900,1.3117744750294e-05,13.117744750294
"CMA-1-137-7",77.1044884,"-B12","4","4, -B12",226045,4520900,1.70551192019288e-05,17.0551192019288
"CMA-1-127-8",37.252516,"-B12","4","4, -B12",213690,4273800,8.71648556319903e-06,8.71648556319903
"CMA-1-119-9",49.6484469,"-B12","4","4, -B12",226910,4538200,1.0940118747521e-05,10.940118747521
"CMA-1-146-1",42.023085,"+B12","12","12, +B12",172100,3442000,1.22089148750726e-05,12.2089148750726
"CMA-1-146-2",99.849904,"+B12","12","12, +B12",202035,4040700,2.47110411562353e-05,24.7110411562353
"CMA-1-146-3",87.493635,"+B12","12","12, +B12",162625,3252500,2.69004258262875e-05,26.9004258262875
"CMA-1-146-7",80.8006407,"-B12","12","12, -B12",175985,3519700,2.29566840071597e-05,22.9566840071597
"CMA-1-146-8",57.8804695,"-B12","12","12, -B12",162825,3256500,1.7773827575618e-05,17.773827575618
"CMA-1-146-9",62.7752067,"-B12","12","12, -B12",161005,3220100,1.94948003788702e-05,19.4948003788702
